scope,count,mean_ttft_ms,mean_computation_tokens,mean_baseline_ttft_ms,mean_residual_ttft_ms,min_residual_ttft_ms,max_residual_ttft_ms
all,1201,19610.0067,1496.7702,249.4617,19360.5450,58.2779,71641.3467
tenant_count=8,240,12708.8710,1295.0833,215.8472,12493.0238,60.9533,30294.5561
tenant_count=16,435,23024.4427,1322.9839,220.4973,22803.9454,63.0981,60549.6247
tenant_count=32,526,19935.0882,1732.5152,288.7525,19646.3357,58.2779,71641.3467
group=Group1,601,21716.0720,2043.3577,340.5596,21375.5124,58.2779,71173.1713
group=Group2,600,17500.4312,949.2717,158.2119,17342.2192,70.5975,71641.3467
experiment=exp1,405,20357.4055,1519.3753,253.2292,20104.1762,60.9533,71173.1713
experiment=exp2,411,19682.6638,1505.6472,250.9412,19431.7226,58.2779,71641.3467
experiment=exp3,385,18746.2182,1463.5143,243.9190,18502.2991,101.1081,68536.1679
