estimated_prefill_fraction,tenant_count,turn_index,tenant_id,history_limit_tokens,ttft_ms,blocking_ms,estimated_prefill_ms,estimated_remaining_ttft_ms,input_tokens,prefix_hit_tokens,computation_tokens
0.5,32,2,10,24576,7848.0005,0.3282,3923.83615,3923.83615,2240.0,48.0,2192.0
0.5,32,2,11,24576,7878.3147,0.4002,3938.95725,3938.95725,2240.0,48.0,2192.0
0.5,32,2,8,24576,7849.6608,0.345,3924.6578999999997,3924.6578999999997,2240.0,48.0,2192.0
0.5,32,2,18,12288,7843.667,0.278,3921.6945,3921.6945,613.0,48.0,565.0
0.5,32,2,20,12288,12623.3854,2484.607,5069.3892,5069.3892,613.0,48.0,565.0
0.5,32,2,31,12288,12636.6071,2484.5564,5076.02535,5076.02535,812.0,48.0,764.0
0.5,32,2,24,12288,3305.3563,0.0483,1652.654,1652.654,613.0,32.0,581.0
0.5,32,2,29,12288,12616.134,2484.54,5065.7970000000005,5065.7970000000005,811.0,48.0,763.0
0.5,32,3,9,24576,28207.7474,9659.6002,9274.0736,9274.0736,4554.0,2240.0,2314.0
0.5,32,3,14,24576,10260.9838,0.3182,5130.3328,5130.3328,4554.0,2240.0,2314.0
0.5,32,3,32,12288,28219.0929,9659.617,9279.737949999999,9279.737949999999,1571.0,800.0,771.0
0.5,32,3,29,12288,20049.7095,384.6245,9832.5425,9832.5425,1571.0,800.0,771.0
0.5,32,3,15,24576,28220.8305,9659.6688,9280.58085,9280.58085,4553.0,2224.0,2329.0
0.5,32,3,28,12288,28210.1365,9659.6344,9275.251049999999,9275.251049999999,2204.0,1680.0,524.0
0.5,32,3,24,12288,333.1519,0.0481,166.55190000000002,166.55190000000002,1269.0,608.0,661.0
0.5,32,3,22,12288,10214.2506,0.245,5107.002799999999,5107.002799999999,1270.0,608.0,662.0
0.5,32,3,6,24576,10158.6888,0.1527,5079.26805,5079.26805,5103.0,2912.0,2191.0
0.5,32,3,30,12288,10215.6156,0.2622,5107.6767,5107.6767,1571.0,800.0,771.0
0.5,32,3,27,12288,10185.3422,0.1697,5092.586249999999,5092.586249999999,2257.0,1728.0,529.0
0.5,32,3,17,12288,20089.5629,384.7084,9852.42725,9852.42725,1269.0,608.0,661.0
0.5,32,3,12,24576,10289.4392,0.3424,5144.548400000001,5144.548400000001,4553.0,2224.0,2329.0
0.5,32,3,31,12288,678.0259,0.0079,339.009,339.009,1572.0,800.0,772.0
0.5,32,3,26,12288,10241.2148,0.2988,5120.458,5120.458,1269.0,608.0,661.0
0.5,32,3,21,12288,10225.8888,0.2801,5112.80435,5112.80435,1269.0,608.0,661.0
0.5,32,3,11,24576,20072.9122,384.6914,9844.1104,9844.1104,4554.0,2240.0,2314.0
0.5,32,3,3,24576,20002.828,0.1801,10001.32395,10001.32395,4866.0,2544.0,2322.0
0.5,32,3,23,12288,10198.4088,0.2273,5099.090749999999,5099.090749999999,1269.0,608.0,661.0
0.5,32,3,5,24576,10183.3222,0.1871,5091.567550000001,5091.567550000001,4543.0,2352.0,2191.0
0.5,32,3,25,12288,712.9174,0.0192,356.44910000000004,356.44910000000004,1269.0,608.0,661.0
0.5,32,3,20,12288,20061.8408,384.6582,9838.5913,9838.5913,1269.0,608.0,661.0
0.5,32,3,16,24576,20068.5624,384.6749,9841.943749999999,9841.943749999999,4340.0,2144.0,2196.0
0.5,32,3,19,12288,20011.6351,0.1374,10005.74885,10005.74885,1268.0,608.0,660.0
0.5,32,3,1,24576,20086.7085,0.1357,10043.2864,10043.2864,4867.0,2720.0,2147.0
0.5,32,3,18,12288,20047.9467,384.6055,9831.6706,9831.6706,1270.0,608.0,662.0
0.5,32,3,7,24576,20008.706,0.156,10004.275,10004.275,4554.0,2240.0,2314.0
0.5,32,3,2,24576,28219.5013,9659.5835,9279.9589,9279.9589,5029.0,2944.0,2085.0
0.5,32,3,10,24576,28229.0484,0.1189,14114.46475,14114.46475,4554.0,2240.0,2314.0
0.5,32,3,13,24576,28214.4018,9659.6512,9277.3753,9277.3753,4554.0,2240.0,2314.0
