num_gpu_blocks_override,tenant_count,tenant_id,history_limit_tokens,successful_requests,failed_requests,avg_input_tokens,avg_output_tokens,avg_kv_history_tokens,avg_prefix_hit_tokens,avg_prefix_hit_rate,avg_blocking_time_ms,avg_ttft_ms,avg_p95_tbt_ms,avg_ttlt_ms
16384,16,10,2048,10,0,3134.4,513.0,2986.3,2523.2,0.7364,670.6747,24903.3187,52.9809,83805.178
16384,16,15,2048,10,0,3133.3,513.0,2985.3,2521.6,0.7352,0.1453,22881.4109,52.9928,83855.1218
16384,16,16,2048,10,0,3019.0,513.0,2871.3,2401.6,0.722,69.7003,23703.2836,52.9762,83844.6865
16384,16,14,2048,10,0,3134.5,513.0,2986.4,2523.2,0.7363,669.4744,25967.3718,52.9669,83816.0591
16384,16,2,8192,10,0,10443.0,2049.0,10276.0,8425.6,0.7427,4.6659,24803.7761,52.5852,215868.4895
16384,8,3,8192,10,0,10265.7,2049.0,10100.9,8252.8,0.7161,0.0677,15166.6034,29.7428,120927.666
16384,8,5,2048,10,0,3261.2,513.0,3100.3,2635.2,0.7482,0.0533,12801.513,30.0249,45710.7076
16384,8,8,2048,10,0,3133.3,513.0,2985.2,2516.8,0.7362,0.0391,7392.5392,30.0159,45690.1872
16384,8,1,8192,10,0,10287.9,2049.0,10116.9,8265.6,0.7316,0.0422,15942.4503,29.7374,120889.6585
16384,8,4,8192,10,0,10263.9,2049.0,10099.1,8275.2,0.7161,0.0542,12205.5934,29.7432,120912.4215
16384,8,2,8192,10,0,10442.2,2049.0,10276.1,8508.8,0.7427,0.0708,14803.5771,29.7414,120924.12
16384,8,7,2048,10,0,3134.1,513.0,2986.0,2523.2,0.7364,0.0401,13246.6892,30.015,45682.6639
16384,8,6,2048,10,0,3460.9,513.0,3310.7,2840.0,0.8226,0.0551,11568.7914,30.0132,45689.0078
