exp_label,turn_index,tenant_id,group_label,input_tokens,prefix_hit_tokens,prefix_hit_rate,kv_history_tokens,resident_kv_mib,computation_tokens,prefill_ms,batch_total_computation_tokens,batch_total_resident_kv_mib,batch_pressure_ratio,estimated_prefill_rounds_ratio,joint_compute_x_pressure,joint_compute_x_rounds,compute_over_hit_ratio,context_plus_compute
exp1,1,8,Group1,50.0,0.0,0.0,0.0,0.0,50.0,126.12819999999999,3620.0,0.0,0.0,0.44189453125,0.0,22.0947265625,50.0,50.0
exp1,1,15,Group1,49.0,48.0,0.9795918367346939,0.0,0.0,1.0,628.7807999999999,3620.0,0.0,0.0,0.44189453125,0.0,0.44189453125,0.020833333333333332,1.0
exp1,2,27,Group2,2249.0,896.0,0.39839928857269896,1931.0,60.34375,1353.0,4438.525699999999,22553.0,731.34375,0.714202880859375,2.7530517578125,966.3164978027344,3724.8790283203125,1.5100446428571428,3284.0
exp1,2,10,Group1,761.0,48.0,0.06307490144546649,621.0,19.40625,713.0,4444.6402,22553.0,731.34375,0.714202880859375,2.7530517578125,509.2266540527344,1962.9259033203125,14.854166666666666,1334.0
exp1,2,2,Group1,1004.0,832.0,0.8286852589641435,947.0,29.59375,172.0,3524.6715,22553.0,731.34375,0.714202880859375,2.7530517578125,122.8428955078125,473.52490234375,0.20673076923076922,1119.0
exp1,2,1,Group1,778.0,624.0,0.8020565552699229,732.0,22.875,154.0,3516.767,22553.0,731.34375,0.714202880859375,2.7530517578125,109.98724365234375,423.969970703125,0.2467948717948718,886.0
exp1,2,23,Group2,463.0,32.0,0.06911447084233262,411.0,12.84375,431.0,3531.6989999999996,22553.0,731.34375,0.714202880859375,2.7530517578125,307.8214416503906,1186.5653076171875,13.46875,842.0
exp1,2,18,Group2,272.0,48.0,0.17647058823529413,220.0,6.875,224.0,3445.0718,22553.0,731.34375,0.714202880859375,2.7530517578125,159.9814453125,616.68359375,4.666666666666667,444.0
exp1,2,24,Group2,489.0,48.0,0.09815950920245399,437.0,13.65625,441.0,3511.2055,22553.0,731.34375,0.714202880859375,2.7530517578125,314.9634704589844,1214.0958251953125,9.1875,878.0
exp1,2,17,Group2,532.0,48.0,0.09022556390977443,480.0,15.0,484.0,3445.1584,22553.0,731.34375,0.714202880859375,2.7530517578125,345.6741943359375,1332.47705078125,10.083333333333334,964.0
exp1,2,11,Group1,1216.0,48.0,0.039473684210526314,1076.0,33.625,1168.0,3455.3793999999994,22553.0,731.34375,0.714202880859375,2.7530517578125,834.18896484375,3215.564453125,24.333333333333332,2244.0
exp1,2,16,Group1,1124.0,48.0,0.042704626334519574,1072.0,33.5,1076.0,3483.6691,22553.0,731.34375,0.714202880859375,2.7530517578125,768.4822998046875,2962.28369140625,22.416666666666668,2148.0
exp1,2,32,Group2,1323.0,48.0,0.036281179138321996,1079.0,33.71875,1275.0,3454.0492,22553.0,731.34375,0.714202880859375,2.7530517578125,910.6086730957031,3510.1409912109375,26.5625,2354.0
exp1,2,15,Group1,232.0,48.0,0.20689655172413793,92.0,2.875,184.0,4459.9985,22553.0,731.34375,0.714202880859375,2.7530517578125,131.413330078125,506.5615234375,3.8333333333333335,276.0
exp1,2,12,Group1,460.0,48.0,0.10434782608695652,320.0,10.0,412.0,4435.6678999999995,22553.0,731.34375,0.714202880859375,2.7530517578125,294.2515869140625,1134.25732421875,8.583333333333334,732.0
exp1,2,6,Group1,1053.0,832.0,0.7901234567901234,1021.0,31.90625,221.0,3464.9626000000003,22553.0,731.34375,0.714202880859375,2.7530517578125,157.83883666992188,608.4244384765625,0.265625,1242.0
exp1,2,26,Group2,1125.0,48.0,0.042666666666666665,1073.0,33.53125,1077.0,4430.258999999999,22553.0,731.34375,0.714202880859375,2.7530517578125,769.1965026855469,2965.0367431640625,22.4375,2150.0
