tenant_count,group,mean_blocking_ms,mean_prefill_ms,mean_remaining_ttft_ms,mean_total_ttft_ms,sample_count
8,Group1,0.0252,2635.1718,0.0000,2635.1969,120
8,Group2,0.0293,2501.9942,0.0000,2502.0235,120
16,Group1,0.0733,7418.7841,0.0000,7418.8574,240
16,Group2,0.0891,7175.8083,0.0000,7175.8974,240
32,Group1,196.6084,8841.6119,0.0000,9038.2203,336
32,Group2,93.5304,9005.4687,0.0000,9098.9991,336
