turn_index,sample_count,mean_blocking_ms,p95_blocking_ms,p99_blocking_ms,mean_prefill_ms,p95_prefill_ms,p99_prefill_ms,mean_remaining_ttft_ms,mean_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_input_tokens,mean_output_tokens,mean_kv_history_tokens,mean_computation_tokens,prefix_hit_rate,total_input_tokens,total_kv_history_tokens,mean_total_resident_kv_gib_per_exp,mean_total_request_kv_gib_per_exp,resident_blocks_required,request_blocks_required,kv_block_capacity,kv_token_capacity,kv_gib_capacity
1,96,0.05694687499999999,0.1567,0.1689,262.561603125,359.4759,378.89239999999995,3.774758283725532e-15,262.6185500000001,359.5757,379.0395,109.0625,522.21875,0.0,63.5625,0.4171919770773639,10470.0,0.0,0.0,0.10650634765625,0.0,654.375,2048,32768,1.0
2,96,0.10704374999999998,0.2988,0.324,2523.5767874999988,3304.564,3308.8376,4.263256414560601e-14,2523.683831250001,3304.6099,3308.9103,703.4375,606.875,631.625,600.4375,0.14642381163927143,67530.0,60636.0,0.6168212890625,0.68695068359375,3789.75,4220.625,2048,32768,1.0
3,96,10.287790625000001,35.773,35.7894,5543.978781249997,7168.8577000000005,7214.153999999999,2.5579538487363607e-13,5554.266571875,7204.6471,7214.3236,1420.5,689.53125,1310.65625,723.0,0.4910242872228089,136368.0,125823.0,1.279937744140625,1.38720703125,7863.9375,8523.0,2048,32768,1.0
4,96,43.321303124999986,0.3776,1381.8125,8042.051603125,11104.7248,11835.999000000002,2.1316282072803006e-13,8085.37290625,11836.0385,11858.0507,2206.8125,639.0,2110.59375,793.8125,0.6402900110453426,211854.0,202617.0,2.061126708984375,2.15509033203125,12663.5625,13240.875,2048,32768,1.0
5,96,0.16135312500000004,0.3897,0.4138,10789.501643749996,13715.9152,13878.776,1.283417816466681e-13,10789.662996874998,13716.329,13878.7922,2887.875,719.5625,2846.3125,686.375,0.7623252391464312,277236.0,273246.0,2.77960205078125,2.8201904296875,17077.875,17327.25,2048,32768,1.0
6,96,114.81171249999993,458.5981,458.6122,15212.11088125,20081.8358,20173.2113,4.014566457044566e-13,15326.922593750003,20137.9499,20173.343,3687.125,806.84375,3608.03125,804.625,0.781774417737397,353964.0,346371.0,3.523468017578125,3.6007080078125,21648.1875,22122.75,2048,32768,1.0
7,96,268.553884375,858.7726,858.7901,18430.64880624999,24711.570000000003,25592.852,4.547473508864641e-13,18699.202690625003,25570.3426,25593.0359,4558.34375,826.96875,4494.5625,877.34375,0.8075301473259887,437601.0,431478.0,4.38922119140625,4.451507568359375,26967.375,27350.0625,2048,32768,1.0
8,96,22.127696874999998,54.0131,54.0345,24237.527587499993,31977.710700000003,32056.734400000005,6.821210263296962e-13,24259.655284375,32031.7238,32056.975899999998,5499.21875,858.0625,5385.90625,915.71875,0.8334820286972582,527925.0,517047.0,5.259674072265625,5.370330810546875,32315.4375,32995.3125,2048,32768,1.0
9,96,19.812065624999995,57.0246,57.0423,24613.241103125005,33616.998199999995,33658.6621,1.0302869668521453e-12,24633.053168750004,33658.8656,33674.0228,6429.3125,956.875,6357.84375,871.3125,0.8644781226608599,617214.0,610353.0,6.208831787109375,6.27862548828125,38147.0625,38575.875,2048,32768,1.0
10,96,682.5284531249998,1819.6085,1819.6274,29264.919193749996,38419.043000000005,40259.0296,4.547473508864641e-13,29947.447646875004,40238.6515,40259.2446,7428.5,923.0625,7386.875,940.0,0.8734603217338628,713136.0,709140.0,7.2137451171875,7.25439453125,44321.25,44571.0,2048,32768,1.0
