blocking_slice,exp_label,turn_index,filtered_batch_size,batch_total_computation_tokens,batch_compute_ratio_8192,batch_mean_prefill_ms
lt100,exp1,1,32,3620.0000,0.441895,357.8121
lt100,exp1,2,17,27940.0000,3.410645,5649.4880
lt100,exp1,3,19,27135.0000,3.312378,11506.9606
lt100,exp1,4,21,27810.0000,3.394775,13025.6188
lt100,exp1,5,31,42583.0000,5.198120,22581.0143
lt100,exp1,6,25,35026.0000,4.275635,38709.5904
lt100,exp1,7,16,35789.0000,4.368774,37084.2024
lt100,exp1,8,7,24047.0000,2.935425,15868.8961
lt100,exp1,9,10,40119.0000,4.897339,28562.8849
lt100,exp1,10,7,56268.0000,6.868652,21612.1403
lt100,exp2,1,32,3620.0000,0.441895,357.8121
lt100,exp2,2,17,27940.0000,3.410645,5649.4880
lt100,exp2,3,19,27135.0000,3.312378,11506.9606
lt100,exp2,4,21,27810.0000,3.394775,13025.6188
lt100,exp2,5,31,42583.0000,5.198120,22581.0143
lt100,exp2,6,25,35026.0000,4.275635,38709.5904
lt100,exp2,7,16,35789.0000,4.368774,37084.2024
lt100,exp2,8,7,24047.0000,2.935425,15868.8961
lt100,exp2,9,10,40119.0000,4.897339,28562.8849
lt100,exp2,10,7,56268.0000,6.868652,21612.1403
lt100,exp3,1,32,3620.0000,0.441895,357.8121
lt100,exp3,2,17,27940.0000,3.410645,5649.4880
lt100,exp3,3,19,27135.0000,3.312378,11506.9606
lt100,exp3,4,21,27810.0000,3.394775,13025.6188
lt100,exp3,5,31,42583.0000,5.198120,22581.0143
lt100,exp3,6,25,35026.0000,4.275635,38709.5904
lt100,exp3,7,16,35789.0000,4.368774,37084.2024
lt100,exp3,8,7,24047.0000,2.935425,15868.8961
lt100,exp3,9,10,40119.0000,4.897339,28562.8849
lt100,exp3,10,7,56268.0000,6.868652,21612.1403
gt100,exp1,2,15,17788.0000,2.171387,8627.2733
gt100,exp1,3,13,19924.0000,2.432129,18928.5555
gt100,exp1,4,11,19037.0000,2.323853,30506.4139
gt100,exp1,5,1,2143.0000,0.261597,28484.4287
gt100,exp1,6,7,14415.0000,1.759644,41982.9934
gt100,exp1,7,16,75837.0000,9.257446,31703.8158
gt100,exp1,8,25,161184.0000,19.675781,46683.0683
gt100,exp1,9,22,221453.0000,27.032837,50717.6953
gt100,exp1,10,25,271366.0000,33.125732,85267.1505
gt100,exp2,2,15,17788.0000,2.171387,8627.2733
gt100,exp2,3,13,19924.0000,2.432129,18928.5555
gt100,exp2,4,11,19037.0000,2.323853,30506.4139
gt100,exp2,5,1,2143.0000,0.261597,28484.4287
gt100,exp2,6,7,14415.0000,1.759644,41982.9934
gt100,exp2,7,16,75837.0000,9.257446,31703.8158
gt100,exp2,8,25,161184.0000,19.675781,46683.0683
gt100,exp2,9,22,221453.0000,27.032837,50717.6953
gt100,exp2,10,25,271366.0000,33.125732,85267.1505
gt100,exp3,2,15,17788.0000,2.171387,8627.2733
gt100,exp3,3,13,19924.0000,2.432129,18928.5555
gt100,exp3,4,11,19037.0000,2.323853,30506.4139
gt100,exp3,5,1,2143.0000,0.261597,28484.4287
gt100,exp3,6,7,14415.0000,1.759644,41982.9934
gt100,exp3,7,16,75837.0000,9.257446,31703.8158
gt100,exp3,8,25,161184.0000,19.675781,46683.0683
gt100,exp3,9,22,221453.0000,27.032837,50717.6953
gt100,exp3,10,25,271366.0000,33.125732,85267.1505
