scope,turn_index,group_label,kv_usage_mib
exp1,1,Group1,0.0000
exp1,1,Group2,0.0000
exp1,2,Group1,343.8125
exp1,2,Group2,387.5312
exp1,3,Group1,764.1875
exp1,3,Group2,784.7500
exp1,4,Group1,1295.4688
exp1,4,Group2,1241.5000
exp1,5,Group1,1842.0000
exp1,5,Group2,1716.2500
exp1,6,Group1,2348.9688
exp1,6,Group2,2275.7812
exp1,7,Group1,2871.7500
exp1,7,Group2,2837.2188
exp1,8,Group1,3393.2812
exp1,8,Group2,3412.6562
exp1,9,Group1,3951.5312
exp1,9,Group2,3923.1562
exp1,10,Group1,4503.2812
exp1,10,Group2,4528.0938
exp2,1,Group1,0.0000
exp2,1,Group2,0.0000
exp2,2,Group1,343.8125
exp2,2,Group2,387.5312
exp2,3,Group1,764.1875
exp2,3,Group2,784.7500
exp2,4,Group1,1295.4688
exp2,4,Group2,1241.5000
exp2,5,Group1,1842.0000
exp2,5,Group2,1716.2500
exp2,6,Group1,2348.9688
exp2,6,Group2,2275.7812
exp2,7,Group1,2871.7500
exp2,7,Group2,2837.2188
exp2,8,Group1,3393.2812
exp2,8,Group2,3412.6562
exp2,9,Group1,3951.5312
exp2,9,Group2,3923.1562
exp2,10,Group1,4503.2812
exp2,10,Group2,4528.0938
exp3,1,Group1,0.0000
exp3,1,Group2,0.0000
exp3,2,Group1,343.8125
exp3,2,Group2,387.5312
exp3,3,Group1,764.1875
exp3,3,Group2,784.7500
exp3,4,Group1,1295.4688
exp3,4,Group2,1241.5000
exp3,5,Group1,1842.0000
exp3,5,Group2,1716.2500
exp3,6,Group1,2348.9688
exp3,6,Group2,2275.7812
exp3,7,Group1,2871.7500
exp3,7,Group2,2837.2188
exp3,8,Group1,3393.2812
exp3,8,Group2,3412.6562
exp3,9,Group1,3951.5312
exp3,9,Group2,3923.1562
exp3,10,Group1,4503.2812
exp3,10,Group2,4528.0938
mean,1,Group1,0.0000
mean,1,Group2,0.0000
mean,2,Group1,343.8125
mean,2,Group2,387.5312
mean,3,Group1,764.1875
mean,3,Group2,784.7500
mean,4,Group1,1295.4688
mean,4,Group2,1241.5000
mean,5,Group1,1842.0000
mean,5,Group2,1716.2500
mean,6,Group1,2348.9688
mean,6,Group2,2275.7812
mean,7,Group1,2871.7500
mean,7,Group2,2837.2188
mean,8,Group1,3393.2812
mean,8,Group2,3412.6562
mean,9,Group1,3951.5312
mean,9,Group2,3923.1562
mean,10,Group1,4503.2812
mean,10,Group2,4528.0938
