tenant_count,count,mean_residual_ttft_ms,p50_residual_ttft_ms,p95_residual_ttft_ms,min_residual_ttft_ms,max_residual_ttft_ms
8,240,12576.6559,10247.7228,29850.7983,60.9533,30029.3228
16,420,23003.3957,22992.0960,51318.9199,92.3356,60549.6247
32,555,21165.3162,16600.2973,52731.0592,148.2751,71173.1713
