scope,turn_index,group_label,input_kv_usage_mib
exp1,1,Group1,105.2188
exp1,1,Group2,67.9062
exp1,2,Group1,1199.1250
exp1,2,Group2,399.8750
exp1,3,Group1,2331.1875
exp1,3,Group2,732.4062
exp1,4,Group1,3449.5000
exp1,4,Group2,1071.9688
exp1,5,Group1,4513.1250
exp1,5,Group2,1398.5625
exp1,6,Group1,5614.3750
exp1,6,Group2,1727.1562
exp1,7,Group1,6700.3125
exp1,7,Group2,2046.5000
exp1,8,Group1,7835.6250
exp1,8,Group2,2347.8438
exp1,9,Group1,8929.1250
exp1,9,Group2,2718.0000
exp1,10,Group1,9992.5938
exp1,10,Group2,3045.4688
exp2,1,Group1,105.2188
exp2,1,Group2,67.9062
exp2,2,Group1,1199.1250
exp2,2,Group2,399.8750
exp2,3,Group1,2331.1875
exp2,3,Group2,732.4062
exp2,4,Group1,3449.5000
exp2,4,Group2,1071.9688
exp2,5,Group1,4513.1250
exp2,5,Group2,1398.5625
exp2,6,Group1,5614.3750
exp2,6,Group2,1727.1562
exp2,7,Group1,6700.3125
exp2,7,Group2,2046.5000
exp2,8,Group1,7835.6250
exp2,8,Group2,2347.8438
exp2,9,Group1,8929.1250
exp2,9,Group2,2718.0000
exp2,10,Group1,9992.5938
exp2,10,Group2,3045.4688
exp3,1,Group1,105.2188
exp3,1,Group2,67.9062
exp3,2,Group1,1199.1250
exp3,2,Group2,399.8750
exp3,3,Group1,2331.1875
exp3,3,Group2,732.4062
exp3,4,Group1,3449.5000
exp3,4,Group2,1071.9688
exp3,5,Group1,4513.1250
exp3,5,Group2,1398.5625
exp3,6,Group1,5614.3750
exp3,6,Group2,1727.1562
exp3,7,Group1,6700.3125
exp3,7,Group2,2046.5000
exp3,8,Group1,7835.6250
exp3,8,Group2,2347.8438
exp3,9,Group1,8929.1250
exp3,9,Group2,2718.0000
exp3,10,Group1,9992.5938
exp3,10,Group2,3045.4688
mean,1,Group1,105.2188
mean,1,Group2,67.9062
mean,2,Group1,1199.1250
mean,2,Group2,399.8750
mean,3,Group1,2331.1875
mean,3,Group2,732.4062
mean,4,Group1,3449.5000
mean,4,Group2,1071.9688
mean,5,Group1,4513.1250
mean,5,Group2,1398.5625
mean,6,Group1,5614.3750
mean,6,Group2,1727.1562
mean,7,Group1,6700.3125
mean,7,Group2,2046.5000
mean,8,Group1,7835.6250
mean,8,Group2,2347.8438
mean,9,Group1,8929.1250
mean,9,Group2,2718.0000
mean,10,Group1,9992.5938
mean,10,Group2,3045.4688
