exp_label,turn_index,tenant_id,group_label,blocking_ms,input_tokens,prefix_hit_tokens,prefix_hit_rate,computation_tokens,kv_history_tokens,prefill_ms,first_token_ts,rank_in_batch,rank_frac,delay_from_earliest_first_token_ms
exp1,2,28,Group2,0.0122,1045.0,0.0,0.0,1045.0,1040.0,680.5038,0.0,20,0.625,0.0
exp1,2,15,Group1,0.0128,1078.0,48.0,0.04452690166975881,1030.0,938.0,3085.3497,0.0,21,0.65625,0.0
exp1,2,24,Group2,0.1411,1037.0,0.0,0.0,1037.0,1032.0,3127.5714999999996,0.0,22,0.6875,0.0
exp1,2,21,Group2,0.3358,1039.0,0.0,0.0,1039.0,1034.0,3183.4773999999998,0.0,23,0.71875,0.0
exp1,2,16,Group1,0.0766,1124.0,32.0,0.028469750889679714,1092.0,1072.0,3110.637,0.0,24,0.75,0.0
exp1,2,14,Group1,0.0181,646.0,48.0,0.07430340557275542,598.0,506.0,651.9643,0.0,25,0.78125,0.0
exp1,2,5,Group1,0.2574,334.0,64.0,0.19161676646706588,270.0,86.0,3154.4888999999994,0.0,26,0.8125,0.0
exp1,2,13,Group1,0.1562,1216.0,48.0,0.039473684210526314,1168.0,1076.0,3129.2027,0.0,27,0.84375,0.0
exp1,2,23,Group2,0.0513,468.0,0.0,0.0,468.0,462.0,3112.1938,0.0,28,0.875,0.0
exp1,2,32,Group2,0.0341,777.0,0.0,0.0,777.0,771.0,677.0694000000001,0.0,29,0.90625,0.0
exp1,2,29,Group2,0.3161,817.0,0.0,0.0,817.0,810.0,3193.6728,0.0,30,0.9375,0.0
exp1,2,2,Group1,0.0893,954.0,832.0,0.8721174004192872,122.0,897.0,3136.8073999999997,0.0,31,0.96875,0.0
exp1,2,26,Group2,0.2709,489.0,0.0,0.0,489.0,483.0,3174.3277000000003,0.0,32,1.0,0.0
exp1,3,15,Group1,0.1481,2131.0,1072.0,0.5030502111684655,1059.0,1867.0,5978.6868,0.0,1,0.037037037037037035,0.0
exp1,3,2,Group1,0.3134,993.0,944.0,0.9506545820745217,49.0,961.0,6019.848000000001,0.0,2,0.07407407407407407,0.0
exp1,3,1,Group1,0.0331,1257.0,1008.0,0.801909307875895,249.0,1171.0,1063.5397999999998,0.0,3,0.1111111111111111,0.0
exp1,3,7,Group1,0.3829,593.0,256.0,0.4317032040472175,337.0,329.0,6025.4034,0.0,4,0.14814814814814814,0.0
exp1,3,11,Group1,0.0344,1234.0,448.0,0.36304700162074555,786.0,970.0,359.5771,0.0,5,0.18518518518518517,0.0
exp1,3,26,Group2,0.026,533.0,480.0,0.900562851782364,53.0,528.0,1058.5761999999997,0.0,6,0.2222222222222222,0.0
exp1,3,6,Group1,0.0194,1099.0,960.0,0.8735213830755232,139.0,968.0,1048.7057000000002,0.0,7,0.25925925925925924,0.0
exp1,3,8,Group1,0.4472,1055.0,432.0,0.409478672985782,623.0,791.0,6041.3353,0.0,8,0.2962962962962963,0.0
exp1,3,27,Group2,0.1644,1339.0,304.0,0.2270351008215086,1035.0,1334.0,5977.6128,0.0,9,0.3333333333333333,0.0
exp1,3,18,Group2,0.4032,901.0,656.0,0.7280799112097669,245.0,896.0,6036.412600000001,0.0,10,0.37037037037037035,0.0
exp1,3,29,Group2,0.1991,1848.0,816.0,0.44155844155844154,1032.0,1843.0,5989.8617,0.0,11,0.4074074074074074,0.0
exp1,3,10,Group1,0.0432,1371.0,352.0,0.2567469000729395,1019.0,1107.0,1072.9060000000002,0.0,12,0.4444444444444444,0.0
exp1,3,3,Group1,0.4225,2090.0,784.0,0.3751196172248804,1306.0,1823.0,6047.221399999999,0.0,13,0.48148148148148145,0.0
exp1,3,23,Group2,0.1316,1500.0,464.0,0.30933333333333335,1036.0,1494.0,5965.3846,0.0,14,0.5185185185185185,0.0
exp1,3,28,Group2,0.25,2075.0,1040.0,0.5012048192771085,1035.0,2070.0,6001.564399999999,0.0,15,0.5555555555555556,0.0
exp1,3,14,Group1,0.0132,1936.0,640.0,0.3305785123966942,1296.0,1672.0,1045.9290999999998,0.0,16,0.5925925925925926,0.0
exp1,3,24,Group2,0.0986,2069.0,1024.0,0.49492508458192364,1045.0,2063.0,8161.531800000001,0.0,17,0.6296296296296297,0.0
exp1,3,12,Group1,0.2156,1845.0,544.0,0.2948509485094851,1301.0,1581.0,5992.454699999999,0.0,18,0.6666666666666666,0.0
exp1,3,9,Group1,0.2799,762.0,240.0,0.31496062992125984,522.0,498.0,6006.1988,0.0,19,0.7037037037037037,0.0
exp1,3,31,Group2,0.3478,2071.0,1024.0,0.4944471269917914,1047.0,2065.0,6029.9937,0.0,20,0.7407407407407407,0.0
exp1,3,21,Group2,0.1151,2072.0,1024.0,0.4942084942084942,1048.0,2065.0,5964.331999999999,0.0,21,0.7777777777777778,0.0
exp1,3,4,Group1,0.3649,2031.0,736.0,0.362383062530773,1295.0,1764.0,6023.696099999999,0.0,22,0.8148148148148148,0.0
exp1,3,5,Group1,0.2964,1486.0,336.0,0.22611036339165544,1150.0,1360.0,6007.2196,0.0,23,0.8518518518518519,0.0
exp1,3,19,Group2,0.3306,2064.0,1024.0,0.49612403100775193,1040.0,2059.0,6026.7806,0.0,24,0.8888888888888888,0.0
exp1,3,17,Group2,0.1808,274.0,240.0,0.8759124087591241,34.0,269.0,5986.4247,0.0,25,0.9259259259259259,0.0
