exp_label,turn_index,tenant_id,group_label,blocking_ms,input_tokens,prefix_hit_tokens,prefix_hit_rate,computation_tokens,kv_history_tokens,prefill_ms,first_token_ts,rank_in_batch,rank_frac,delay_from_earliest_first_token_ms
exp1,2,19,Group2,0.0817,353.0,0.0,0.0,353.0,348.0,3047.2359,132023.0492176,14,0.4375,2970.208200014895
exp1,2,26,Group2,0.0137,610.0,0.0,0.0,610.0,604.0,525.8601,132020.52847380002,2,0.0625,449.464400036959
exp1,2,13,Group1,0.2483,423.0,48.0,0.11347517730496454,375.0,283.0,3121.8779999999997,132023.1234263,31,0.96875,3044.4169000256807
exp1,2,3,Group1,0.0247,1525.0,240.0,0.15737704918032788,1285.0,1269.0,1067.9886000000001,132021.06831330003,8,0.25,989.3039000453427
exp1,2,22,Group2,0.0186,541.0,0.0,0.0,541.0,534.0,1052.3586,132021.05457719998,6,0.1875,975.5677999928594
exp1,2,27,Group2,0.0077,725.0,0.0,0.0,725.0,719.0,529.2571,132020.5319648,3,0.09375,452.9554000182543
exp1,2,21,Group2,0.0168,1039.0,0.0,0.0,1039.0,1034.0,3041.2706000000003,132023.04338740002,12,0.375,2964.378000033321
exp1,2,18,Group2,0.1799,304.0,0.0,0.0,304.0,299.0,3073.9433,132023.0759232,24,0.75,2996.9138000160456
exp1,2,11,Group1,0.1306,791.0,48.0,0.0606826801517067,743.0,651.0,3058.245,132023.0594756,17,0.53125,2980.466200009687
exp1,2,28,Group2,0.0206,1046.0,0.0,0.0,1046.0,1041.0,531.8739999999999,132020.53469459998,4,0.125,455.6851999950595
exp1,2,32,Group2,0.282,216.0,0.0,0.0,216.0,210.0,3133.3809,132023.13686290002,32,1.0,3057.853500038618
exp1,2,31,Group2,0.1141,1036.0,0.0,0.0,1036.0,1030.0,3070.2902000000004,132023.0735043,22,0.6875,2994.4949000200722
exp1,2,30,Group2,0.1632,1038.0,0.0,0.0,1038.0,1032.0,3060.8241000000003,132023.0639873,19,0.59375,2984.9779000214767
exp1,2,15,Group1,0.2653,683.0,48.0,0.07027818448023426,635.0,543.0,3110.0301,132023.1117954,30,0.9375,3032.786000025226
exp1,2,7,Group1,0.3339,686.0,48.0,0.06997084548104957,638.0,546.0,3078.2475999999997,132023.07928150002,25,0.78125,3000.2721000346355
exp1,2,6,Group1,0.0313,948.0,832.0,0.8776371308016878,116.0,916.0,565.0699,132020.5657012,5,0.15625,486.691800004337
exp1,2,17,Group2,0.316,437.0,0.0,0.0,437.0,432.0,3084.3446999999996,132023.0863607,26,0.8125,3007.351300009759
exp1,2,23,Group2,0.2314,1038.0,0.0,0.0,1038.0,1032.0,3071.7720999999997,132023.0743035,23,0.71875,2995.2941000228748
exp1,2,29,Group2,0.0486,182.0,0.0,0.0,182.0,175.0,76.0608,132020.07900939998,1,0.03125,0.0
exp1,2,20,Group2,0.0656,51.0,0.0,0.0,51.0,46.0,3048.3412000000003,132023.0504068,15,0.46875,2971.397400018759
exp1,2,12,Group1,0.3776,449.0,48.0,0.10690423162583519,401.0,309.0,3096.6875999999997,132023.0982652,29,0.90625,3019.2558000271674
exp1,2,1,Group1,0.1987,1563.0,624.0,0.39923224568138194,939.0,1517.0,3062.8841,132023.06318280002,18,0.5625,2984.173400036525
exp1,2,25,Group2,0.2149,245.0,0.0,0.0,245.0,239.0,3065.0586999999996,132023.0677736,20,0.625,2988.764200010337
exp1,2,16,Group1,0.0493,374.0,32.0,0.0855614973262032,342.0,322.0,3042.8498999999997,132023.04449919998,13,0.40625,2965.489800000796
exp1,3,30,Group2,0.0459,2070.0,1024.0,0.49468599033816424,1046.0,2064.0,6583.6817,132036.5867276,16,0.5,6149.901900003897
exp1,3,6,Group1,0.061,1085.0,944.0,0.8700460829493087,141.0,954.0,6578.538500000001,132036.5791995,14,0.4375,6142.3738000157755
exp1,3,29,Group2,0.0582,218.0,176.0,0.8073394495412844,42.0,213.0,2082.8624000000004,132032.08582059998,7,0.21875,1648.9948999951594
exp1,3,32,Group2,0.2178,1248.0,208.0,0.16666666666666666,1040.0,1242.0,6612.750800000001,132036.6161686,26,0.8125,6179.342900024494
exp1,3,16,Group1,0.167,590.0,368.0,0.6237288135593221,222.0,448.0,6592.0994,132036.59386639998,20,0.625,6157.040699996287
exp1,3,4,Group1,0.0914,1670.0,960.0,0.5748502994011976,710.0,1403.0,6591.426800000001,132036.5919182,19,0.59375,6155.092500004685
exp1,3,27,Group2,0.0157,1628.0,720.0,0.44226044226044225,908.0,1623.0,6573.7483,132036.576464,13,0.40625,6139.6383000246715
exp1,3,9,Group1,0.2329,1287.0,256.0,0.1989121989121989,1031.0,1023.0,6612.942899999999,132036.61407580003,25,0.78125,6177.2501000377815
exp1,3,8,Group1,0.1362,955.0,224.0,0.23455497382198953,731.0,691.0,6597.0288,132036.59796500002,21,0.65625,6161.139300034847
exp1,3,22,Group2,0.1853,1573.0,528.0,0.3356643356643357,1045.0,1567.0,6608.9681,132036.6113534,24,0.75,6174.527700000908
exp1,3,10,Group1,0.1621,896.0,384.0,0.42857142857142855,512.0,632.0,2098.265,132032.09942709998,10,0.3125,1662.601399992127
exp1,3,31,Group2,0.1515,2067.0,1024.0,0.4954039671020803,1043.0,2061.0,6599.017399999999,132036.6022689,22,0.6875,6165.443200006848
exp1,3,2,Group1,0.0126,1183.0,1008.0,0.8520710059171598,175.0,1151.0,2059.2001000000005,132032.0594127,2,0.0625,1622.5870000198483
exp1,3,21,Group2,0.0831,2072.0,1024.0,0.4942084942084942,1048.0,2065.0,2080.3479,132032.08253100002,6,0.1875,1645.7053000340238
exp1,3,13,Group1,0.279,1457.0,416.0,0.2855181880576527,1041.0,1193.0,6626.9125,132036.6284915,29,0.90625,6191.665800026385
exp1,3,18,Group2,0.0308,1335.0,304.0,0.22771535580524344,1031.0,1330.0,434.9949,132030.4368257,1,0.03125,0.0
exp1,3,14,Group1,0.0759,2505.0,1216.0,0.48542914171656687,1289.0,2241.0,6585.3993,132036.5868752,17,0.53125,6150.049500021851
exp1,3,3,Group1,0.2639,2817.0,1520.0,0.5395811146609869,1297.0,2550.0,6617.617,132036.61818090003,28,0.875,6181.355200038524
exp1,3,12,Group1,0.3126,784.0,448.0,0.5714285714285714,336.0,520.0,6638.4513,132036.6399639,31,0.96875,6203.1382000132
exp1,3,15,Group1,0.0958,1973.0,672.0,0.34059807399898634,1301.0,1709.0,2086.0774,132032.0876732,8,0.25,1650.8475000155158
exp1,3,11,Group1,0.071,2080.0,784.0,0.3769230769230769,1296.0,1816.0,2076.4044999999996,132032.0775755,5,0.15625,1640.7498000189662
exp1,3,7,Group1,0.1062,1976.0,672.0,0.340080971659919,1304.0,1712.0,6588.3737,132036.5891799,18,0.5625,6152.354200021364
