tenant_count,group_label,input_tokens,prefix_hit_rate,prefix_hit_tokens,ttft_ms
16,Group1,17809.0,0.88544,15744.0,51356.0734
16,Group2,5507.0,0.903803,4848.0,7778.3446
16,Group1,17956.0,0.884322,15664.0,55903.7117
16,Group1,19948.0,0.896722,17808.0,46391.6191
16,Group1,20099.0,0.89765,18032.0,46257.5278
16,Group2,6107.0,0.914134,5504.0,60650.1247
16,Group2,6100.0,0.912824,5424.0,46458.37
16,Group1,20159.0,0.897919,18032.0,46493.8433
16,Group1,20094.0,0.897874,18032.0,46503.2922
16,Group1,19930.0,0.896593,17792.0,60642.5061
16,Group1,19930.0,0.896593,17792.0,46330.3349
16,Group1,20059.0,0.897331,17952.0,60703.0986
16,Group2,6107.0,0.914134,5504.0,46462.4229
16,Group2,6102.0,0.914894,5504.0,46325.0795
16,Group1,20112.0,0.897666,18000.0,46263.9946
16,Group2,6106.0,0.914286,5504.0,46208.985
16,Group2,6107.0,0.914134,5504.0,834.4355
16,Group2,6105.0,0.914438,5504.0,46399.1348
16,Group2,6107.0,0.914134,5504.0,46568.3038
8,Group1,243.0,0.0,240.0,387.319
8,Group2,50.0,0.0,48.0,364.3603
8,Group2,50.0,0.0,0.0,390.079
8,Group2,840.0,0.0,832.0,366.3244
8,Group1,840.0,0.0,0.0,386.4004
8,Group1,636.0,0.0,0.0,381.4996
8,Group2,69.0,0.0,0.0,392.0949
8,Group1,243.0,0.0,0.0,101.4533
8,Group1,2548.0,0.104712,240.0,3625.739
8,Group2,704.0,0.085106,48.0,3628.0591
8,Group2,831.0,0.109777,64.0,224.4838
8,Group1,2732.0,0.232316,624.0,1062.8772
8,Group1,2548.0,0.104712,240.0,3617.0787
8,Group2,704.0,0.085106,48.0,1060.4246
8,Group2,1386.0,0.614476,832.0,3635.8046
8,Group1,2947.0,0.287889,832.0,3635.7287
8,Group1,4863.0,0.553525,2544.0,4305.2495
8,Group1,5029.0,0.589153,2944.0,7462.0928
8,Group1,4868.0,0.5688,2720.0,7448.5878
8,Group2,2031.0,0.724211,1376.0,4272.5857
8,Group2,1471.0,0.618587,832.0,4293.3596
8,Group1,4859.0,0.554007,2544.0,1802.0368
8,Group2,1482.0,0.577997,704.0,4295.8904
8,Group2,1482.0,0.577997,704.0,4298.0091
8,Group1,6923.0,0.703602,4864.0,10605.1623
8,Group1,6917.0,0.701897,4848.0,2453.9741
8,Group2,2342.0,0.741935,1472.0,5345.7329
8,Group2,2575.0,0.798428,2032.0,10639.011
8,Group1,6951.0,0.703195,4864.0,5338.1398
8,Group1,7275.0,0.709705,5024.0,10608.6167
8,Group2,2233.0,0.737475,1472.0,10640.6061
8,Group2,2233.0,0.737475,1472.0,5330.2901
8,Group1,9047.0,0.77147,6944.0,13427.5682
8,Group1,8989.0,0.770483,6912.0,3159.9357
8,Group2,3029.0,0.817927,2336.0,3529.2367
8,Group2,2831.0,0.80961,2224.0,13455.7385
8,Group1,8984.0,0.770912,6912.0,13479.8798
8,Group2,3100.0,0.833927,2576.0,13486.2742
8,Group2,2831.0,0.80961,2224.0,13429.9067
8,Group1,9352.0,0.778981,7264.0,13457.8365
8,Group1,11197.0,0.814635,9040.0,17994.4609
8,Group1,11306.0,0.813117,8976.0,4395.5074
8,Group1,11476.0,0.819577,9344.0,18001.8247
8,Group2,3489.0,0.841854,2816.0,17971.8854
8,Group2,3489.0,0.841854,2816.0,17985.2121
8,Group2,3759.0,0.853514,3024.0,17983.4927
8,Group2,3671.0,0.854455,3088.0,18035.6802
8,Group1,11301.0,0.813486,8976.0,8552.1049
8,Group1,13637.0,0.845762,11296.0,6289.9874
8,Group2,4094.0,0.871346,3488.0,658.4978
8,Group2,4293.0,0.879944,3760.0,21783.8256
8,Group1,13360.0,0.844267,11184.0,21734.9019
8,Group1,13632.0,0.846079,11296.0,21689.9085
8,Group1,13657.0,0.848144,11472.0,21694.3113
8,Group2,4093.0,0.871564,3488.0,21744.3232
8,Group2,4380.0,0.875717,3664.0,6262.2281
8,Group1,15974.0,0.869,13632.0,26406.0435
8,Group1,15730.0,0.868912,13648.0,26358.2747
8,Group2,4850.0,0.885417,4080.0,26362.7793
8,Group2,4982.0,0.892521,4368.0,26343.2042
8,Group2,4910.0,0.892032,4288.0,26393.6681
8,Group2,4849.0,0.885609,4080.0,26395.7656
8,Group1,15968.0,0.869332,13632.0,6238.9643
8,Group1,15897.0,0.86697,13360.0,26417.9059
8,Group1,18024.0,0.886323,15968.0,27740.4901
8,Group2,5507.0,0.903803,4848.0,825.1134
8,Group2,5667.0,0.905605,4912.0,27636.4337
8,Group1,18032.0,0.885273,15888.0,27739.8945
8,Group2,5523.0,0.905551,4976.0,1366.5504
8,Group1,18008.0,0.884639,15728.0,27655.3563
8,Group2,5506.0,0.903972,4848.0,27641.6231
8,Group1,18032.0,0.886818,15984.0,27662.2366
8,Group1,20118.0,0.898195,18016.0,30202.5622
8,Group1,20092.0,0.897963,18032.0,30194.0563
8,Group2,6107.0,0.914134,5504.0,30112.9052
8,Group2,6234.0,0.916357,5664.0,30124.3228
8,Group2,6126.0,0.914361,5520.0,782.2994
8,Group2,6106.0,0.914286,5504.0,30108.7608
8,Group1,20084.0,0.898321,18032.0,30064.549
8,Group1,20159.0,0.897919,18032.0,30131.6146
16,Group1,840.0,0.0,832.0,334.2987
16,Group2,47.0,0.0,0.0,325.449
16,Group2,50.0,0.0,48.0,342.8818
16,Group2,50.0,0.0,48.0,355.6572
16,Group1,50.0,0.0,48.0,352.7754
16,Group1,636.0,0.0,0.0,338.5981
16,Group1,243.0,0.0,240.0,335.5071
16,Group1,243.0,0.0,0.0,103.5981
16,Group2,50.0,0.0,48.0,349.0861
16,Group1,50.0,0.0,48.0,340.91
16,Group1,69.0,0.0,0.0,345.6754
16,Group1,840.0,0.0,0.0,363.4509
16,Group2,50.0,0.0,0.0,123.9927
16,Group2,49.0,0.0,48.0,78.3994
16,Group2,50.0,0.0,48.0,76.7924
16,Group2,50.0,0.0,48.0,345.6176
16,Group1,2549.0,0.104666,240.0,903.4178
16,Group2,704.0,0.085106,48.0,1174.2309
16,Group2,704.0,0.085106,48.0,6024.2261
16,Group2,703.0,0.085258,48.0,6049.2916
16,Group2,702.0,0.085409,48.0,1155.4691
16,Group1,2239.0,0.022868,48.0,6037.3202
16,Group2,704.0,0.085106,48.0,1152.7341
16,Group1,2946.0,0.287989,832.0,6015.7788
16,Group1,2731.0,0.232402,624.0,6042.8837
16,Group1,2240.0,0.022857,48.0,6040.813
16,Group1,2549.0,0.104666,240.0,6028.9467
16,Group1,2365.0,0.030231,64.0,6036.6473
16,Group2,704.0,0.085106,48.0,6046.8229
16,Group2,704.0,0.085106,48.0,6018.2665
16,Group2,612.0,0.057143,32.0,6869.9303
16,Group1,4553.0,0.518536,2224.0,10848.7459
16,Group2,1482.0,0.577997,704.0,558.9557
16,Group2,1482.0,0.577997,704.0,10866.295
16,Group2,1482.0,0.577997,704.0,10800.2528
16,Group1,4866.0,0.553164,2544.0,10818.3428
16,Group2,1481.0,0.578472,704.0,14487.3478
16,Group1,4542.0,0.532609,2352.0,10843.2422
16,Group1,5027.0,0.589389,2944.0,10882.9051
16,Group1,5101.0,0.585915,2912.0,10859.9918
16,Group1,4554.0,0.522145,2240.0,10801.4625
16,Group2,1480.0,0.565789,688.0,368.9445
16,Group2,1481.0,0.565325,688.0,10823.7502
16,Group1,6841.0,0.688068,4544.0,19651.8013
