tenant_count,group,turn,mean_blocking_ms,mean_prefill_ms,mean_remaining_ttft_ms,mean_total_ttft_ms,sample_count
32,Group1,1,0.0485,257.8085,0.0000,257.8570,48
32,Group1,2,0.1178,2265.4104,0.0000,2265.5283,48
32,Group1,3,6.9388,5117.6638,0.0000,5124.6026,48
32,Group1,4,86.5056,9558.5793,0.0000,9645.0850,48
32,Group1,5,0.1502,9439.8573,0.0000,9440.0075,48
32,Group1,6,143.4447,15344.5838,0.0000,15488.0284,48
32,Group1,7,214.9386,19705.9171,0.0000,19920.8558,48
32,Group1,8,27.1829,25606.1031,0.0000,25633.2861,48
32,Group1,9,28.6546,27697.6647,0.0000,27726.3193,48
32,Group1,10,568.8104,28959.0330,0.0000,29527.8434,48
32,Group2,1,0.0654,267.3147,0.0000,267.3801,48
32,Group2,2,0.0962,2781.7432,0.0000,2781.8394,48
32,Group2,3,13.6367,5970.2938,0.0000,5983.9305,48
32,Group2,4,0.1370,6525.5239,0.0000,6525.6609,48
32,Group2,5,0.1726,12139.1460,0.0000,12139.3185,48
32,Group2,6,86.1788,15079.6380,0.0000,15165.8168,48
32,Group2,7,322.1691,17155.3805,0.0000,17477.5496,48
32,Group2,8,17.0725,22868.9520,0.0000,22886.0245,48
32,Group2,9,10.9696,21528.8175,0.0000,21539.7871,48
32,Group2,10,796.2465,29570.8054,0.0000,30367.0519,48
