exp_label,turn_index,tenant_id,group_label,input_tokens,prefix_hit_tokens,prefix_hit_rate,kv_history_tokens,resident_kv_mib,computation_tokens,prefill_ms,batch_total_computation_tokens,batch_total_resident_kv_mib,batch_pressure_ratio,estimated_prefill_rounds_ratio,joint_compute_x_pressure,joint_compute_x_rounds,compute_over_hit_ratio,context_plus_compute
exp1,1,9,Group1,50.0,0.0,0.0,0.0,0.0,50.0,763.7918,2034.0,0.0,0.0,0.248291015625,0.0,12.41455078125,50.0,50.0
exp1,2,4,Group1,739.0,240.0,0.32476319350473615,483.0,15.09375,499.0,3156.9305,18849.0,620.21875,0.605682373046875,2.3009033203125,302.2355041503906,1148.1507568359375,2.0791666666666666,982.0
exp1,2,30,Group2,208.0,0.0,0.0,202.0,6.3125,208.0,106.36440000000002,18849.0,620.21875,0.605682373046875,2.3009033203125,125.98193359375,478.587890625,208.0,410.0
exp1,2,7,Group1,269.0,48.0,0.17843866171003717,129.0,4.03125,221.0,3102.8165999999997,18849.0,620.21875,0.605682373046875,2.3009033203125,133.85580444335938,508.4996337890625,4.604166666666667,350.0
exp1,2,6,Group1,962.0,832.0,0.8648648648648649,930.0,29.0625,130.0,3118.2392999999997,18849.0,620.21875,0.605682373046875,2.3009033203125,78.73870849609375,299.117431640625,0.15625,1060.0
exp1,2,1,Group1,1020.0,624.0,0.611764705882353,974.0,30.4375,396.0,3112.4971,18849.0,620.21875,0.605682373046875,2.3009033203125,239.8502197265625,911.15771484375,0.6346153846153846,1370.0
exp1,2,18,Group2,663.0,0.0,0.0,658.0,20.5625,663.0,664.7081,18849.0,620.21875,0.605682373046875,2.3009033203125,401.5674133300781,1525.4989013671875,663.0,1321.0
exp1,2,17,Group2,251.0,0.0,0.0,246.0,7.6875,251.0,3106.1023999999998,18849.0,620.21875,0.605682373046875,2.3009033203125,152.02627563476562,577.5267333984375,251.0,497.0
exp1,2,11,Group1,449.0,48.0,0.10690423162583519,309.0,9.65625,401.0,685.114,18849.0,620.21875,0.605682373046875,2.3009033203125,242.87863159179688,922.6622314453125,8.354166666666666,710.0
exp1,2,9,Group1,243.0,48.0,0.19753086419753085,103.0,3.21875,195.0,91.63710000000002,18849.0,620.21875,0.605682373046875,2.3009033203125,118.10806274414062,448.6761474609375,4.0625,298.0
