num_gpu_blocks_override,tenant_count,tenant_id,history_limit_tokens,successful_requests,failed_requests,avg_input_tokens,avg_output_tokens,avg_kv_history_tokens,avg_prefix_hit_tokens,avg_prefix_hit_rate,avg_blocking_time_ms,avg_ttft_ms,avg_p95_tbt_ms,avg_ttlt_ms
16384,16,12,12288,30,0,3134.0,513.0,2985.9,2521.6,0.737,363.6889,22013.9548,52.9701,83745.4152
16384,16,14,12288,30,0,3134.3667,513.0,2986.2667,2523.2,0.7364,322.5798,20088.1965,52.9724,83736.452
16384,16,3,24576,30,0,10263.5,2048.9667,10098.7,8277.3333,0.7164,11.9656,25482.8527,52.5946,215813.8812
16384,16,10,12288,30,0,3134.3333,513.0,2986.2333,2523.2,0.7364,248.7077,21643.7723,52.9842,83756.3048
16384,16,13,12288,30,0,3133.7333,513.0,2985.6333,2555.7333,0.7429,215.9837,24651.7866,52.9759,83760.5493
16384,16,5,24576,30,0,10172.6333,2049.0,10011.7333,8163.2,0.7042,0.1336,26438.8236,52.5875,215797.6114
16384,8,4,24576,30,0,10262.8667,2049.0,10098.0667,8267.2,0.7162,0.0539,12286.8369,29.8196,120943.9627
16384,8,8,12288,30,0,3133.8333,513.0,2985.7333,2519.4667,0.7364,0.0403,10497.2958,30.101,45520.9013
16384,8,7,12288,30,0,3133.8667,513.0,2985.7667,2520.5333,0.7359,0.0384,12551.6796,30.1022,45519.912
16384,8,6,12288,30,0,3461.1333,513.0,3310.9333,2896.5333,0.823,0.0466,10433.2173,30.0992,45525.8415
16384,8,2,24576,30,0,10443.0667,2049.0,10276.3667,8522.1333,0.7465,0.0585,15155.7215,29.8184,120940.7888
16384,8,1,24576,30,0,10287.4333,2049.0,10116.4333,8265.6,0.7317,0.0431,15461.7072,29.8175,120927.7145
16384,8,5,12288,30,0,3260.7667,513.0,3099.8667,2634.6667,0.7479,0.0467,12130.4421,30.1016,45532.4941
16384,8,3,24576,30,0,10261.9667,2048.7667,10097.1667,8258.1333,0.7162,0.0486,13154.0675,29.815,120943.0436
