group_label,turn_index,p99_blocking_ms,p99_prefill_ms,p99_blocking_plus_prefill_ms,p99_remaining_ms,p99_total_components_ms
Group1 (limit=24576),1,0.5487969901878387,361.8876120017376,362.4364089919254,260.65159100807455,623.088
Group1 (limit=24576),2,2484.59071200341,11897.547123997356,14382.137836000766,775.0400430018899,15157.177879002655
Group1 (limit=24576),3,9659.668826003326,27815.084180008853,37474.75300601218,417.3897060021918,37892.14271201437
Group1 (limit=24576),4,2433.8777320081135,34074.779655988095,36508.65738799621,6173.851350991517,42682.50873898773
Group1 (limit=24576),5,9281.395583995618,37765.807457995834,47047.20304199145,16558.434789992418,63605.63783198387
Group1 (limit=24576),6,25895.80044199829,67820.35291600914,93716.15335800743,4034.171925004892,97750.32528301232
Group1 (limit=24576),7,216885.33853099216,63577.94248200662,280463.2810129988,5249.870368998731,285713.1513819975
Group1 (limit=24576),8,304337.79177299584,202230.5557369982,506568.34750999406,5963.653566998593,512532.00107699266
Group1 (limit=24576),9,787895.8609809924,79121.40545500733,867017.2664359998,14889.501047995487,881906.7674839953
Group1 (limit=24576),10,892719.6286909893,431683.81480699463,1324403.443497984,3759.148803006261,1328162.5923009901
Group2 (limit=12288),1,0.5258379969745874,361.8876120017376,362.41344999871217,247.6206649987373,610.0341149974495
Group2 (limit=12288),2,7103.248104991508,9930.177299000206,17033.425403991714,768.8095419984047,17802.23494599012
Group2 (limit=12288),3,9659.634366995306,19591.160259005846,29250.794626001152,420.3374890024279,29671.13211500358
Group2 (limit=12288),4,18156.069934993866,33894.0811400098,52050.15107500367,6145.891004988691,58196.04207999236
Group2 (limit=12288),5,0.2619099977891892,31581.59274799982,31581.85465799761,16563.796694990997,48145.65135298861
Group2 (limit=12288),6,25895.766842993908,49050.26831700525,74946.03515999916,4036.5157340074475,78982.5508940066
Group2 (limit=12288),7,228441.92624399147,47800.88707800314,276242.8133219946,5210.064094989219,281452.8774169838
Group2 (limit=12288),8,706357.1390019933,59797.38220000581,766154.5212019992,5971.394598990129,772125.9158009893
Group2 (limit=12288),9,303755.62800599437,69155.91457100527,372911.54257699964,14898.158375987528,387809.7009529872
Group2 (limit=12288),10,923596.4270980039,83412.44356700918,1007008.8706650131,3854.5005330029308,1010863.371198016
