tenant_count,turn_index,mean_sum_input_tokens,mean_sum_uncached_context_tokens,mean_sum_p95_tbt_ms,input_context_per_sum_tbt_sec,uncached_context_per_sum_tbt_sec,input_context_per_p99_ttft_sec,input_context_per_p99_blocking_plus_prefill_sec
16,1,3367.0,1911.0,212.20856666666668,15866.46596265278,9005.291492316443,0.0,0.0
16,2,26078.333333333332,22777.0,340.07716666666664,76683.57622755227,66975.97555064708,0.0,0.0
16,3,50014.666666666664,24014.666666666668,483.47973333333334,103447.28686317909,49670.472226619364,0.0,0.0
16,4,73517.0,23623.666666666668,632.4850666666667,116235.15538074363,37350.55246627166,0.0,0.0
16,5,95267.0,21869.666666666668,769.1838333333334,123854.65719833337,28432.301510930523,0.0,0.0
16,6,118220.33333333333,23116.333333333332,913.2590666666665,129448.84715443286,25311.91222410348,0.0,0.0
16,7,140684.66666666666,22514.0,1055.2351999999998,133320.67264877696,21335.527851989777,0.0,0.0
16,8,164725.33333333334,24186.666666666668,1206.1397666666664,136572.34251431286,20052.955167467742,0.0,0.0
16,9,187429.66666666666,22549.666666666668,1347.5793,139086.18711096753,16733.461746308116,0.0,0.0
16,10,209173.66666666666,21611.0,1486.3568333333333,140729.10486613747,14539.577250460607,0.0,0.0
32,1,5540.0,3620.0,661.2114333333333,8378.560503818673,5474.799462784043,8759.906244336302,11073.468161778452
32,2,51162.0,45716.666666666664,1178.0493666666664,43429.41938398111,38807.08904077903,3899.9343647495234,2786.883910756344
32,3,98025.33333333333,47049.333333333336,1780.0526000000002,55068.784671494155,26431.42867426127,3457.0492530283977,2562.99273648193
32,4,144679.0,46839.0,2381.3910666666666,60753.9861995507,19668.756071031425,3384.438808086241,2778.369511189065
32,5,189167.66666666666,44698.333333333336,2955.4954333333335,64005.39974894,15123.803890612226,3468.384047109077,2633.556824369692
32,6,234925.0,51218.333333333336,3546.3572333333327,66244.03142240316,14442.519454023422,3210.06864036859,2472.7815678629136
32,7,279894.0,122571.33333333333,3725.8678999999997,75121.82597778091,32897.391057083194,1017.3377033882614,920.3529936622671
32,8,325865.6666666667,202713.66666666666,3674.292566666667,88688.00204505581,55170.80172267537,450.55384434380017,371.05785568326917
32,9,372705.6666666667,274113.6666666667,3637.113533333333,102472.92619570505,75365.71628971054,405.46603937225854,398.1376598535444
32,10,417214.3333333333,335102.3333333333,3511.6812000000004,118807.57664828267,95425.0440880947,422.40923556295905,307.6881470226143
8,1,2971.0,1851.0,78.70016666666665,37750.87303923543,23519.645235821194,0.0,0.0
8,2,14400.666666666666,11472.666666666666,111.49580000000002,129158.82631154414,102897.74741888631,0.0,0.0
8,3,26089.333333333332,11732.0,148.93009999999998,175178.37786541026,78775.21065251417,0.0,0.0
8,4,37455.0,11407.0,185.13346666666666,202313.50211487064,61615.007839389385,0.0,0.0
8,5,48170.0,10783.333333333334,219.6599666666667,219293.48679679,49091.02690385549,0.0,0.0
8,6,59696.0,11594.666666666666,256.6087333333333,232634.32707278608,45184.22469902947,0.0,0.0
8,7,71154.33333333333,11495.666666666666,293.3644,242545.9030929906,39185.62261360502,0.0,0.0
8,8,83168.0,12064.0,332.57856666666663,250070.23403091624,36274.13552506942,0.0,0.0
8,9,94308.33333333333,11145.666666666666,367.9393333333333,256314.89973890624,30292.131492691733,0.0,0.0
8,10,105036.66666666667,10060.666666666666,402.3351333333333,261067.59754347414,25005.687629897926,0.0,0.0
