scope,count,mean_ttft_ms,mean_computation_tokens,mean_baseline_ttft_ms,mean_residual_ttft_ms,min_residual_ttft_ms,max_residual_ttft_ms
all,867,12362.0459,711.0104,118.5017,12243.5442,45.9368,40073.0779
tenant_count=8,0,,,,,,
tenant_count=16,0,,,,,,
tenant_count=32,867,12362.0459,711.0104,118.5017,12243.5442,45.9368,40073.0779
group=Group1,435,13139.5764,863.5793,143.9299,12995.6465,48.5185,40073.0779
group=Group2,432,11579.1160,557.3819,92.8970,11486.2190,45.9368,33572.1929
experiment=exp1,289,12362.0459,711.0104,118.5017,12243.5442,45.9368,40073.0779
experiment=exp2,289,12362.0459,711.0104,118.5017,12243.5442,45.9368,40073.0779
experiment=exp3,289,12362.0459,711.0104,118.5017,12243.5442,45.9368,40073.0779
