exp_label,turn_index,filtered_batch_size,delay_spread_ms,mean_prefill_ms,mean_computation_tokens,max_delta_gap_ms
exp1,1,32,353.9133000012953,992.0849875,63.5625,170.76919999090023
exp1,2,32,3113.747899973532,2471.4752656249993,589.03125,2400.623199995607
exp1,3,27,7803.318899997976,4776.343692592592,773.2222222222222,4892.597900034161
exp1,4,29,11964.706500002649,8230.147651724139,780.0344827586207,7473.227100010263
exp1,5,25,16069.524500024272,10501.456304000001,800.2,10130.612999986624
exp1,6,26,21162.38799999701,13807.74959615385,856.7692307692307,12748.554599966155
exp1,7,32,25967.172999982722,18833.219931249994,854.96875,13896.608600014588
exp2,1,32,353.9133000012953,992.0849875,63.5625,170.76919999090023
exp2,2,32,3113.747899973532,2471.4752656249993,589.03125,2400.623199995607
exp2,3,27,7803.318899997976,4776.343692592592,773.2222222222222,4892.597900034161
exp2,4,29,11964.706500002649,8230.147651724139,780.0344827586207,7473.227100010263
exp2,5,25,16069.524500024272,10501.456304000001,800.2,10130.612999986624
exp2,6,26,21162.38799999701,13807.74959615385,856.7692307692307,12748.554599966155
exp2,7,32,25967.172999982722,18833.219931249994,854.96875,13896.608600014588
exp3,1,32,353.9133000012953,992.0849875,63.5625,170.76919999090023
exp3,2,32,3113.747899973532,2471.4752656249993,589.03125,2400.623199995607
exp3,3,27,7803.318899997976,4776.343692592592,773.2222222222222,4892.597900034161
exp3,4,29,11964.706500002649,8230.147651724139,780.0344827586207,7473.227100010263
exp3,5,25,16069.524500024272,10501.456304000001,800.2,10130.612999986624
exp3,6,26,21162.38799999701,13807.74959615385,856.7692307692307,12748.554599966155
exp3,7,32,25967.172999982722,18833.219931249994,854.96875,13896.608600014588
