arrival_time_epoch_s,compressed_elapsed_ms,tenant_count,tenant_id,turn_index,blocking_ms,prefill_ms,remaining_ttft_ms,ttft_ms
1778693907.195777,200897.558,32,12,3,0.3136,5991.7411,0.0000,5992.0547
1778693907.197334,200899.115,32,8,3,0.3567,6032.9660,0.0000,6033.3227
1778693907.197697,200899.478,32,26,3,0.2530,5975.3631,0.0000,5975.6161
1778693907.199023,200900.804,32,17,3,0.3877,6025.2040,0.0000,6025.5917
1778693907.199432,200901.213,32,11,3,0.0098,552.6058,0.0000,552.6156
1778693907.205150,200906.931,32,16,3,0.1881,5932.2238,0.0000,5932.4119
1778693907.206376,200908.157,32,7,3,358.8905,9138.4889,0.0000,9497.3794
1778693907.208107,200909.888,32,2,3,0.2678,5977.7535,0.0000,5978.0213
1778693907.210079,200911.860,32,28,3,358.8628,9137.8897,0.0000,9496.7525
1778693907.211485,200913.266,32,21,3,0.1590,5920.7169,0.0000,5920.8759
1778693907.212852,200914.633,32,3,3,0.2024,5937.0392,0.0000,5937.2416
1778693907.215403,200917.184,32,14,3,358.8488,9133.6688,0.0000,9492.5176
1778693907.217576,200919.357,32,5,3,0.4262,6063.6622,0.0000,6064.0884
1778693907.218935,200920.716,32,32,3,0.1143,9521.8660,0.0000,9521.9803
1778693907.220299,200922.080,32,30,3,358.9189,9148.3910,0.0000,9507.3099
1778693907.221980,200923.761,32,22,3,358.9330,9151.6734,0.0000,9510.6064
1778693907.223930,200925.711,32,6,3,0.0413,9480.9901,0.0000,9481.0314
1778693907.225340,200927.121,32,9,3,358.9047,9144.5969,0.0000,9503.5016
1778693907.227184,200928.965,32,4,3,0.0172,9480.9458,0.0000,9480.9630
1778693907.229330,200931.111,32,31,3,0.3277,5997.5228,0.0000,5997.8505
1778693907.231106,200932.887,32,19,3,0.1738,5925.8599,0.0000,5926.0337
1778693907.234598,200936.379,32,20,3,0.3718,6002.1541,0.0000,6002.5259
1778693907.236381,200938.162,32,1,3,0.1285,5911.1560,0.0000,5911.2845
1778693907.238598,200940.379,32,25,3,358.8768,9133.3372,0.0000,9492.2140
1778693907.240961,200942.742,32,10,3,0.3419,6018.8703,0.0000,6019.2122
1778693907.242818,200944.599,32,29,3,0.2170,5960.2209,0.0000,5960.4379
1778693907.244827,200946.608,32,24,3,0.1450,5912.5028,0.0000,5912.6478
1778693907.248459,200950.240,32,13,3,0.2382,5962.2885,0.0000,5962.5267
1778694067.326371,361028.152,32,3,4,0.4106,9818.5611,0.0000,9818.9717
1778694067.328294,361030.075,32,17,4,0.2574,9750.3407,0.0000,9750.5981
1778694067.330242,361032.023,32,16,4,0.2240,9736.1950,0.0000,9736.4190
1778694067.332517,361034.298,32,6,4,0.0211,1480.4123,0.0000,1480.4334
1778694067.334495,361036.276,32,13,4,0.3580,9790.3343,0.0000,9790.6923
1778694067.336581,361038.362,32,22,4,0.3938,9798.5083,0.0000,9798.9021
1778694067.337992,361039.773,32,21,4,0.3237,9782.0700,0.0000,9782.3937
1778694067.339984,361041.765,32,20,4,0.0298,473.8611,0.0000,473.8909
1778694067.340381,361042.162,32,12,4,0.2905,9764.0824,0.0000,9764.3729
1778694067.344514,361046.295,32,18,4,0.3748,9794.4507,0.0000,9794.8255
1778694067.346072,361047.853,32,23,4,0.4273,9807.8835,0.0000,9808.3108
1778694067.347624,361049.405,32,32,4,1021.9123,14513.8403,0.0000,15535.7526
1778694067.348652,361050.433,32,27,4,0.5137,9843.5641,0.0000,9844.0778
1778694067.350865,361052.646,32,31,4,0.4825,9839.8546,0.0000,9840.3371
1778694067.352847,361054.628,32,4,4,1021.8141,14490.7440,0.0000,15512.5581
1778694067.355281,361057.062,32,29,4,0.2739,9753.8846,0.0000,9754.1585
1778694067.355615,361057.396,32,10,4,0.0089,1477.9281,0.0000,1477.9370
1778694067.357377,361059.158,32,24,4,0.2074,15573.9170,0.0000,15574.1244
1778694067.360212,361061.993,32,25,4,1021.9450,14534.8277,0.0000,15556.7727
1778694067.364292,361066.073,32,26,4,0.3070,9768.3413,0.0000,9768.6483
1778694067.366348,361068.129,32,9,4,0.4628,9816.4081,0.0000,9816.8709
1778694067.368195,361069.976,32,14,4,1021.8467,14501.0197,0.0000,15522.8664
1778694067.371616,361073.397,32,2,4,1021.9286,14530.7752,0.0000,15552.7038
1778694067.374108,361075.889,32,11,4,1021.8960,14516.0797,0.0000,15537.9757
1778694067.376325,361078.106,32,8,4,0.2407,9750.9390,0.0000,9751.1797
1778694067.378027,361079.808,32,30,4,0.3407,9782.8887,0.0000,9783.2294
1778694067.380918,361082.699,32,7,4,0.4446,9811.3060,0.0000,9811.7506
1778694067.383064,361084.845,32,28,4,1021.9780,14549.7495,0.0000,15571.7275
1778694067.385605,361087.386,32,19,4,1021.8303,14489.2510,0.0000,15511.0813
1778694067.388590,361090.371,32,5,4,1021.9611,14538.5421,0.0000,15560.5032
1778694067.391019,361092.800,32,15,4,1021.8798,14498.6462,0.0000,15520.5260
1778694067.394540,361096.321,32,1,4,1021.8634,14504.0767,0.0000,15525.9401
1778694262.909762,556611.543,32,32,5,0.0242,1067.1342,0.0000,1067.1584
1778694262.912198,556613.979,32,22,5,368.7437,20028.7827,0.0000,20397.5264
1778694262.914326,556616.107,32,16,5,368.8028,20047.4288,0.0000,20416.2316
1778694262.914680,556616.461,32,8,5,0.3751,12926.3388,0.0000,12926.7139
1778694262.917425,556619.206,32,25,5,0.0258,1428.5385,0.0000,1428.5643
1778694262.919611,556621.392,32,27,5,0.4052,12931.1385,0.0000,12931.5437
1778694262.920024,556621.805,32,26,5,368.8404,20085.2396,0.0000,20454.0800
1778694262.922041,556623.822,32,28,5,0.4468,12952.7585,0.0000,12953.2053
1778694262.925592,556627.373,32,2,5,0.3160,12901.1703,0.0000,12901.4863
1778694262.926663,556628.444,32,7,5,0.0108,1412.4473,0.0000,1412.4581
1778694262.928102,556629.883,32,19,5,368.6933,20008.4618,0.0000,20377.1551
1778694262.930116,556631.897,32,20,5,0.2825,12883.5238,0.0000,12883.8063
1778694262.930495,556632.276,32,17,5,368.8200,20083.5047,0.0000,20452.3247
1778694262.931820,556633.601,32,5,5,0.5429,13014.1028,0.0000,13014.6457
1778694262.933868,556635.649,32,9,5,0.3499,12917.1830,0.0000,12917.5329
1778694262.937011,556638.792,32,30,5,0.2491,20465.3063,0.0000,20465.5554
1778694262.939838,556641.619,32,1,5,0.4639,12964.6831,0.0000,12965.1470
1778694262.941943,556643.724,32,14,5,0.4300,12951.3317,0.0000,12951.7617
1778694262.944044,556645.825,32,6,5,0.2991,12898.1998,0.0000,12898.4989
1778694262.946253,556648.034,32,21,5,0.2657,12883.2533,0.0000,12883.5190
1778694262.948355,556650.136,32,24,5,368.7609,20043.5499,0.0000,20412.3108
1778694262.949509,556651.290,32,3,5,0.4814,12966.7877,0.0000,12967.2691
1778694262.951324,556653.105,32,23,5,368.8572,20093.4877,0.0000,20462.3449
1778694262.953395,556655.176,32,29,5,368.7272,20028.1754,0.0000,20396.9026
1778694262.955070,556656.851,32,4,5,0.3330,12912.9294,0.0000,12913.2624
