exp_label,turn_index,tenant_id,group_label,blocking_ms,input_tokens,prefix_hit_tokens,computation_tokens,prefill_ms,first_token_ts,queued_ts,scheduled_ts,batch_size_filtered,batch_total_computation_tokens,batch_total_input_tokens,batch_estimated_prefill_rounds_ratio,batch_first_token_spread_ms,time_from_batch_first_token_ms
exp1,1,11,Group1,0.1032,50.0,48.0,2.0,361.8876120017376,72874.478940762,72874.116949925,72874.11705315,32,3620.0,5540.0,0.44189453125,362.61314299190417,362.61314299190417
exp1,1,26,Group2,0.2598,47.0,32.0,15.0,361.8876120017376,72874.478940762,72874.116793346,72874.11705315,32,3620.0,5540.0,0.44189453125,362.61314299190417,362.61314299190417
exp1,1,25,Group2,0.5258,47.0,0.0,47.0,361.8876120017376,72874.478940762,72874.116527312,72874.11705315,32,3620.0,5540.0,0.44189453125,362.61314299190417,362.61314299190417
exp1,1,30,Group2,0.4883,53.0,0.0,53.0,361.8876120017376,72874.478940762,72874.116564899,72874.11705315,32,3620.0,5540.0,0.44189453125,362.61314299190417,362.61314299190417
exp1,1,17,Group2,0.0346,47.0,32.0,15.0,361.8876120017376,72874.478940762,72874.11701858,72874.11705315,32,3620.0,5540.0,0.44189453125,362.61314299190417,362.61314299190417
exp1,1,29,Group2,0.2427,53.0,48.0,5.0,361.8876120017376,72874.478940762,72874.116810481,72874.11705315,32,3620.0,5540.0,0.44189453125,362.61314299190417,362.61314299190417
exp1,1,32,Group2,0.0517,53.0,48.0,5.0,361.8876120017376,72874.478940762,72874.117001423,72874.11705315,32,3620.0,5540.0,0.44189453125,362.61314299190417,362.61314299190417
exp1,1,24,Group2,0.3455,47.0,32.0,15.0,361.8876120017376,72874.478940762,72874.116707615,72874.11705315,32,3620.0,5540.0,0.44189453125,362.61314299190417,362.61314299190417
exp1,1,31,Group2,0.4345,53.0,48.0,5.0,361.8876120017376,72874.478940762,72874.116618699,72874.11705315,32,3620.0,5540.0,0.44189453125,362.61314299190417,362.61314299190417
exp1,1,18,Group2,0.0689,47.0,32.0,15.0,361.8876120017376,72874.478940762,72874.116984257,72874.11705315,32,3620.0,5540.0,0.44189453125,362.61314299190417,362.61314299190417
exp1,1,23,Group2,0.452,47.0,32.0,15.0,361.8876120017376,72874.478940762,72874.116601127,72874.11705315,32,3620.0,5540.0,0.44189453125,362.61314299190417,362.61314299190417
