exp_label,turn_index,bucket,tenant_id,group_label,rank_in_batch,delay_from_earliest_first_token_ms,prefill_ms,computation_tokens,kv_history_tokens,prefix_hit_rate
exp2,6,fastest,4,Group1,3,25896.09717798885,25895.382476999657,2317.0,11042.0,0.7951189318242108
exp2,6,fastest,11,Group1,4,25896.09717798885,25895.382476999657,2208.0,11024.0,0.8022922636103151
exp2,6,slowest,12,Group1,22,49050.98301799444,48991.942451000796,2208.0,11024.0,0.8022922636103151
exp2,6,slowest,23,Group2,23,49050.98301799444,48991.942451000796,685.0,3224.0,0.7978754794924756
exp2,6,slowest,25,Group2,24,49050.98301799444,48991.942451000796,685.0,3224.0,0.7978754794924756
exp2,6,slowest,13,Group1,25,67879.39348300279,67820.35291600914,2209.0,11025.0,0.802220431551616
exp2,7,fastest,4,Group1,1,0.0,5234.5973560004495,2327.0,13358.0,0.829386318645062
exp2,7,fastest,15,Group1,2,29774.644631004776,29773.67582100851,2141.0,13218.0,0.8391314148320685
exp2,7,fastest,24,Group2,3,29774.644631004776,29773.67582100851,640.0,3903.0,0.8406374501992032
exp2,7,fastest,7,Group1,4,29774.644631004776,29773.67582100851,2142.0,13219.0,0.839068369646882
exp2,7,slowest,11,Group1,13,47801.85588799941,47708.88087700587,2139.0,13216.0,0.8392575336289171
exp2,7,slowest,3,Group1,14,47801.85588799941,47708.88087700587,2346.0,13361.0,0.8280310804867321
exp2,7,slowest,20,Group2,15,47801.85588799941,47800.88707800314,3968.0,3903.0,0.01195219123505976
exp2,7,slowest,13,Group1,16,63670.91749300016,63577.94248200662,2142.0,13219.0,0.839068369646882
exp2,8,fastest,14,Group1,1,0.0,5947.4363530025585,2306.0,15360.0,0.8521984360979361
exp2,8,slowest,19,Group2,7,42308.98453599366,42308.290182991186,4559.0,4527.0,0.010418927718688952
exp2,9,fastest,7,Group1,1,0.0,14912.44744200958,5667.0,17652.0,0.6815397583590896
exp2,9,fastest,18,Group2,2,9285.628729994642,24152.778114003013,5382.0,5122.0,0.008839779005524863
exp2,9,slowest,32,Group2,9,30200.728319003247,30199.96504401206,5362.0,5302.0,0.0088724584103512
exp2,9,slowest,12,Group1,10,47259.00546099001,47258.242185998824,2194.0,17651.0,0.8767000112397437
exp2,10,fastest,23,Group2,1,0.0,3838.340166010312,6056.0,5946.0,0.007863695937090432
exp2,10,slowest,7,Group1,7,69936.21293899196,69905.96986599849,19883.0,19845.0,0.002408308664893884
exp3,1,fastest,6,Group1,1,0.0,231.47081800561864,840.0,0.0,0.0
exp3,1,fastest,11,Group1,2,362.61314299190417,361.8876120017376,2.0,0.0,0.96
exp3,1,fastest,26,Group2,3,362.61314299190417,361.8876120017376,15.0,0.0,0.6808510638297872
