tenant_count,group,mean_blocking_ms,mean_prefill_ms,mean_remaining_ttft_ms,mean_total_ttft_ms,sample_count
8,Group1,0.0470,12271.9012,1325.8551,13597.8033,120
8,Group2,0.0405,10449.9390,1539.9416,11989.9211,120
16,Group1,12.5637,24641.5235,1485.1533,26139.2405,240
16,Group2,154.4371,21374.8105,1352.7021,22881.9497,240
32,Group1,61104.6211,34819.4069,4576.4862,100500.5142,480
32,Group2,56407.0961,23705.4566,3543.1885,83655.7412,480
