turn_index,group,group_label,sample_count,mean_blocking_ms,p95_blocking_ms,p99_blocking_ms,mean_prefill_ms,p95_prefill_ms,p99_prefill_ms,mean_ttft_ms,mean_input_tokens,mean_output_tokens,mean_kv_history_tokens,mean_prefix_hit_tokens,mean_prefix_hit_rate,mean_total_resident_kv_gib_per_exp,mean_total_request_kv_gib_per_exp
1,2048,Group2,48,0.26130625,0.512675,0.5258,361.8876120017376,361.8876120017376,361.8876120017376,530.9892249999999,135.8125,512.9375,0.0,27.0,0.5527900441589724,0.0,0.066314697265625
1,8192,Group1,48,0.2798312499999999,0.5341349999999999,0.5488,353.73656237698015,361.8876120017376,361.8876120017376,520.5014625,210.4375,2048.9375,0.0,93.0,0.6474108382517706,0.0,0.102752685546875
2,2048,Group2,48,2418.91681875,7103.242429999999,7103.2481,7085.440417624341,9749.224277448955,9930.177299000206,10106.743568750002,799.75,513.0,649.8125,133.0,0.11572336130330284,0.317291259765625,0.3905029296875
2,8192,Group1,48,776.56244375,2484.567285,2484.5907,7005.209378312429,11028.0146636971,11897.547123997356,8346.412031250002,2398.25,2049.0,2260.3125,207.0,0.07663156625668814,1.103668212890625,1.1710205078125
3,2048,Group2,48,1303.72148125,9659.62831,9659.6344,12257.168056066803,19591.160259005846,19591.160259005846,13730.921275,1464.8125,513.0,1313.8125,793.0,0.5222038276982663,0.641510009765625,0.715240478515625
3,8192,Group1,48,2487.1442062499996,9659.66264,9659.6688,16786.799043631618,25071.31718760719,27815.084180008853,19529.704087500002,4662.375,2049.0,4448.1875,2393.0,0.5120207424967574,2.171966552734375,2.27655029296875
4,2048,Group2,48,1591.2168125,12653.308579999977,18156.0699,16031.828553941523,33042.282481455186,33894.0811400098,21071.879712499995,2143.9375,512.9375,1979.1875,1460.0,0.6744743874008755,0.966400146484375,1.046844482421875
4,8192,Group1,48,1064.9162312499998,2433.87196,2433.8777,22037.455629877513,33159.736516841076,34074.779655988095,28028.509868750003,6899.0,2049.0,6712.0625,4655.0,0.6744807616683618,3.277374267578125,3.36865234375
5,2048,Group2,48,0.11661874999999998,0.25521499999999997,0.2619,18591.432872375663,31581.59274799982,31581.59274799982,20777.742806250004,2797.125,513.0,2657.6875,2138.0,0.762244071980982,1.297698974609375,1.36578369140625
5,8192,Group1,48,580.1972562500001,6033.007484999986,9281.3956,26939.559094000288,35601.33230949722,37765.807457995834,36852.83871249999,9026.25,2049.0,8948.6875,6890.0,0.7632619220320382,4.369476318359375,4.4073486328125
6,2048,Group2,48,4884.877831250001,25895.761095,25895.7668,41907.26988400182,49029.85426390369,49050.26831700525,50590.70872499998,3454.3125,513.0,3310.875,2577.0,0.7439200202450426,1.61663818359375,1.686676025390625
6,8192,Group1,48,6492.404737500001,25895.79459,25895.8004,36944.02471331524,61230.40925325619,67820.35291600914,46989.520687499986,11228.75,2049.0,11076.0625,9016.0,0.8029208895710767,5.408233642578125,5.4827880859375
7,2048,Group2,48,41180.61415624999,174674.45940499977,228441.9262,35226.993282502925,47768.6849076541,47800.88707800314,81322.89305624999,4093.0,513.0,3968.0625,706.0,0.16912275056833004,1.937530517578125,1.99853515625
7,8192,Group1,48,28241.04668125001,163260.0959199998,216885.3385,33561.02485262911,58023.77092025634,63577.94248200662,66490.98533750001,13400.625,2049.0,13278.5,9811.0,0.7324219699677582,6.483642578125,6.54327392578125
8,2048,Group2,48,205694.88898125,706357.1328749999,706357.139,27335.41307956239,59051.001407851436,59797.38220000581,237978.44472499998,4695.6875,513.0,4606.75,284.0,0.06155739584402296,2.2493896484375,2.292816162109375
8,8192,Group1,48,69578.83295,304337.78578000003,304337.7918,52549.523208374005,155771.14841119817,202230.5557369982,127423.31322499999,15671.25,2049.0,15450.4375,8506.0,0.5431679037876536,7.544158935546875,7.6519775390625
9,2048,Group2,48,52512.152487499996,247206.0828499998,303755.628,38810.04656393906,66357.49037810309,69155.91457100527,103221.93135000003,5436.0,513.0,5209.4375,1193.0,0.2198642937462045,2.543670654296875,2.654296875
9,8192,Group1,48,215104.78784374997,778042.34677,787895.861,48778.58748619019,77265.1564030064,79121.40545500733,277472.6001,17858.25,2049.0,17721.0,5753.0,0.3213935253609506,8.65283203125,8.7198486328125
10,2048,Group2,48,254484.19453125002,912789.5533649999,923596.4271,39447.085247440555,80009.24253990741,83412.44356700918,297225.1570687501,6090.9375,513.0,5949.9375,36.0,0.005904981822018644,2.905242919921875,2.974090576171875
10,8192,Group1,48,286720.0384375001,873426.4689049999,892719.6287,103238.1487728753,364814.54837309837,431683.81480699463,393350.75619999995,19985.1875,2049.0,19908.125,5563.0,0.2784321996284696,9.72076416015625,9.758392333984375
